   id   |   id   | platform |   case   
--------+--------+----------+----------
  95964 |  56536 | admins   | executor
  95965 |  56537 | admins   | executor
  95966 |  56538 | admins   | executor
  95967 |  56539 | admins   | executor
  95968 |  56540 | admins   | executor
  95969 |  56541 | admins   | executor
  95970 |  56542 | admins   | executor
  95971 |  56543 | admins   | executor
  95972 |  56544 | admins   | executor
  95973 |  56545 | admins   | executor
  95974 |  56546 | admins   | executor
  95975 |  56547 | admins   | executor
  95976 |  56548 | admins   | executor
  95977 |  56549 | admins   | executor
  95978 |  56550 | admins   | executor
  95979 |  56551 | admins   | executor
  95980 |  56552 | admins   | executor
  95981 |  56553 | admins   | executor
  95982 |  56554 | admins   | executor
  95983 |  56555 | admins   | executor
  95984 |  56556 | admins   | executor
  95985 |  56557 | admins   | executor
  95986 |  56558 | admins   | executor
  95987 |  56559 | admins   | executor
  95988 |  56560 | admins   | executor
  95989 |  56561 | admins   | executor
  95990 |  56562 | admins   | executor
  95991 |  56563 | admins   | executor
  95992 |  56564 | admins   | executor
  95993 |  56565 | admins   | executor
  95994 |  56566 | admins   | executor
  95995 |  56567 | admins   | executor
  95996 |  56568 | admins   | executor
  95997 |  56569 | admins   | executor
  95998 |  56570 | admins   | executor
  95999 |  56571 | admins   | executor
  96000 |  56572 | admins   | executor
  96001 |  56573 | admins   | executor
  96002 |  56574 | admins   | executor
  96003 |  56575 | admins   | executor
  96004 |  56576 | admins   | executor
  96005 |  56577 | admins   | executor
  96006 |  56578 | admins   | executor
  96007 |  56580 | admins   | executor
  96008 |  56581 | admins   | executor
  96009 |  56582 | admins   | executor
  96010 |  56583 | admins   | executor
  96011 |  56584 | admins   | executor
  96012 |  56585 | admins   | executor
  96013 |  56586 | admins   | executor
  96014 |  56587 | admins   | executor
  96015 |  56588 | admins   | executor
  96016 |  56589 | admins   | executor
  96017 |  56590 | admins   | executor
  96018 |  56591 | admins   | executor
  96019 |  56592 | admins   | executor
  96020 |  56593 | admins   | executor
  96021 |  56594 | admins   | executor
  96022 |  56595 | admins   | executor
  96023 |  56596 | admins   | executor
  96024 |  56597 | admins   | executor
  96025 |  56599 | admins   | executor
  96026 |  56601 | android  | executor
  96026 |  56600 | android  | executor
  96027 |        |          | provider
  96028 |  56605 | android  | executor
  96029 |  56602 | admins   | executor
  96030 |  56603 | admins   | executor
  96031 |  56604 | admins   | executor
  96032 |  56606 | admins   | executor
  96033 |  56607 | admins   | executor
  96034 |  56608 | admins   | executor
  96035 |  56609 | android  | executor
  96036 |  56610 | admins   | executor
  96037 |  56611 | admins   | executor
  96038 |        |          | executor
  96039 |  56612 | admins   | executor
  96040 |  56614 | android  | executor
  96041 |  56613 | admins   | executor
  96042 |  56615 | admins   | executor
  96043 |        |          | executor
  96044 |  56619 | android  | executor
  96045 |  56616 | admins   | executor
  96046 |  56620 | android  | executor
  96047 |  56621 | admins   | executor
  96048 |  56622 | admins   | executor
  96049 |  56624 | admins   | executor
  96050 |  56625 | admins   | executor
  96051 |  56627 | admins   | executor
  96052 |  56628 | admins   | executor
  96053 |  56629 | admins   | executor
  96054 |  56630 | admins   | executor
  96055 |  56631 | admins   | executor
  96056 |  56632 | admins   | executor
  96057 |  56633 | admins   | executor
  96058 |  56634 | admins   | executor
  96059 |  56635 | admins   | executor
  96060 |  56636 | admins   | executor
  96061 |        |          | provider
  96062 |        |          | executor
  96063 |  56637 | android  | executor
  96063 |  57723 | android  | executor
  96064 |  56638 | android  | provider
  96065 |  56639 | android  | executor
  96066 |  56640 | android  | executor
  96067 |  56641 | admins   | executor
  96068 |        |          | provider
  96069 |  56644 | admins   | executor
  96070 |  56645 | admins   | executor
  96071 |  56647 | admins   | executor
  96072 |  56648 | admins   | executor
  96073 |  56651 | admins   | executor
  96074 |  56652 | admins   | executor
  96075 |  56653 | admins   | executor
  96076 |        |          | executor
  96077 |  56654 | admins   | executor
  96078 |  56655 | admins   | executor
  96079 |        |          | executor
  96080 |  56657 | admins   | executor
  96081 |  56658 | admins   | executor
  96082 |  56659 | admins   | executor
  96083 |  56661 | admins   | executor
  96084 |  56662 | admins   | executor
  96085 |  56663 | admins   | executor
  96086 |  56664 | admins   | executor
  96087 |  56665 | admins   | executor
  96088 |  56666 | admins   | executor
  96089 |  56667 | admins   | executor
  96090 |  56669 | admins   | executor
  96091 |  56668 | admins   | executor
  96092 |  56671 | admins   | executor
  96093 |  56672 | admins   | executor
  96094 |  56673 | admins   | executor
  96095 |  56674 | admins   | executor
  96095 |  69429 | admins   | executor
  96096 |  56675 | admins   | executor
  96097 |  56676 | admins   | executor
  96098 |  56677 | admins   | executor
  96099 |  56678 | admins   | executor
  96100 |  56679 | admins   | executor
  96101 |  56680 | admins   | executor
  96102 |  56681 | admins   | executor
  96103 |  56963 | android  | executor
  96103 |  56682 | admins   | executor
  96103 |  56964 | android  | executor
  96104 |  56683 | admins   | executor
  96105 |  56684 | admins   | executor
  96106 |  56685 | admins   | executor
  96107 |  56686 | admins   | executor
  96108 |  56687 | admins   | executor
  96109 |  56688 | admins   | executor
  96110 |  56689 | admins   | executor
  96111 |  56690 | admins   | executor
  96112 |  56692 | web      | executor
  96113 |  56694 | admins   | executor
  96114 |  56695 | admins   | executor
  96115 |  57073 | admins   | executor
  96115 |  56696 | admins   | executor
  96116 |  56697 | admins   | executor
  96117 |  56698 | admins   | executor
  96117 |  64248 | admins   | executor
  96118 |  56699 | admins   | executor
  96119 |  96312 | admins   | executor
  96119 |  56700 | admins   | executor
  96120 |  56701 | admins   | executor
  96121 |  56702 | admins   | executor
  96122 |  56703 | admins   | executor
  96123 |  56704 | admins   | executor
  96124 |  56705 | admins   | executor
  96125 |  56706 | admins   | executor
  96126 |  56708 | admins   | executor
  96127 |  56709 | admins   | executor
  96128 |  56710 | admins   | executor
  96129 |  56711 | admins   | executor
  96130 |  56712 | admins   | executor
  96131 |  56713 | admins   | executor
  96131 |  79455 | admins   | executor
  96132 |  56714 | admins   | executor
  96133 |  57057 | admins   | executor
  96133 |  56715 | admins   | executor
  96134 |  56717 | admins   | executor
  96135 |  56716 | admins   | executor
  96136 |  56718 | admins   | executor
  96137 |  56719 | admins   | executor
  96138 |        |          | executor
  96139 |  56722 | admins   | executor
  96139 |  56721 | admins   | executor
  96140 |  56723 | admins   | executor
  96141 |  56724 | admins   | executor
  96142 |  56725 | admins   | executor
  96143 |  56726 | admins   | executor
  96144 |  77738 | admins   | executor
  96144 |  56728 | admins   | executor
  96144 |  74433 | admins   | executor
  96144 | 115164 | admins   | executor
  96145 |  56729 | admins   | executor
  96146 |  56730 | admins   | executor
  96147 |  56731 | admins   | executor
  96148 |        |          | executor
  96149 |  56742 | admins   | executor
  96150 |  56733 | admins   | executor
  96151 |  56734 | admins   | executor
  96152 |  56735 | admins   | executor
  96153 |  56736 | admins   | executor
  96154 |  56737 | admins   | executor
  96155 |  56738 | admins   | executor
  96156 |  56739 | admins   | executor
  96157 |  56740 | admins   | executor
  96158 |  56741 | admins   | executor
  96159 |  56743 | admins   | executor
  96160 |  56744 | admins   | executor
  96160 | 139500 | admins   | executor
  96160 | 124230 | admins   | executor
  96161 |        |          | executor
  96162 |  56745 | admins   | executor
  96163 |  56746 | admins   | executor
  96164 |  56747 | admins   | executor
  96165 |  56748 | admins   | executor
  96166 |  56749 | admins   | executor
  96167 |  56750 | admins   | executor
  96168 |  56751 | admins   | executor
  96169 |  56752 | admins   | executor
  96170 |        |          | executor
  96171 |        |          | provider
  96172 |        |          | provider
  96173 |  56754 | admins   | executor
  96174 |  56755 | admins   | executor
  96175 |  56756 | admins   | executor
  96176 |  56757 | admins   | executor
  96177 |  56759 | admins   | executor
  96178 |  56760 | admins   | executor
  96179 |  56761 | admins   | executor
  96180 |  56762 | admins   | executor
  96181 |  56763 | admins   | executor
  96182 |  56764 | admins   | executor
  96183 |  56765 | admins   | executor
  96184 |  56766 | admins   | executor
  96185 |        |          | provider
  96186 |  56767 | admins   | executor
  96187 |  56768 | admins   | executor
  96188 |  56769 | admins   | executor
  96189 |  56770 | admins   | executor
  96190 |  56771 | admins   | executor
  96191 |  56773 | admins   | executor
  96192 |  56775 | admins   | executor
  96193 |  56776 | admins   | executor
  96194 |  56777 | admins   | executor
  96195 |  56778 | admins   | executor
  96196 |  56779 | admins   | executor
  96197 |  56780 | admins   | executor
  96198 |  56781 | admins   | executor
  96199 |  56782 | admins   | executor
  96200 |  56783 | admins   | executor
  96201 |  56784 | admins   | executor
  96201 | 119348 | admins   | executor
  96202 |  56785 | admins   | executor
  96203 |  56786 | admins   | executor
  96204 |  56787 | admins   | executor
  96204 |  56788 | admins   | executor
  96205 |  56789 | admins   | executor
  96206 |  56790 | admins   | executor
  96207 |  56791 | admins   | executor
  96208 |  56792 | admins   | executor
  96209 |  56793 | admins   | executor
  96210 |        |          | executor
  96211 |  56794 | admins   | executor
  96212 |  56795 | admins   | executor
  96213 |  56796 | admins   | executor
  96214 |  56797 | admins   | executor
  96215 |  56798 | admins   | executor
  96216 |  56799 | admins   | executor
  96217 |  56800 | admins   | executor
  96218 |  56801 | admins   | executor
  96219 |  56802 | admins   | executor
  96220 |  56803 | admins   | executor
  96221 |  56804 | admins   | executor
  96222 |  56805 | admins   | executor
  96223 |  56808 | admins   | executor
  96224 |  56809 | admins   | executor
  96225 |  56810 | admins   | executor
  96226 |  56811 | admins   | executor
  96227 |  56812 | admins   | executor
  96228 |  56813 | admins   | executor
  96229 |        |          | executor
  96230 |  56816 | admins   | executor
  96231 |  56817 | admins   | executor
  96232 |  56818 | admins   | executor
  96233 |  56819 | admins   | executor
  96234 |  56820 | admins   | executor
  96235 |  56821 | admins   | executor
  96236 |  56822 | admins   | executor
  96237 |  56824 | admins   | executor
  96238 |  56825 | admins   | executor
  96239 |  56826 | admins   | executor
  96240 |  56827 | admins   | executor
  96241 |  56828 | admins   | executor
  96242 |  56829 | admins   | executor
  96243 |  56831 | admins   | executor
  96244 |  56832 | admins   | executor
  96245 |  56833 | admins   | executor
  96246 |  56834 | admins   | executor
  96247 |  56835 | admins   | executor
  96248 |  56836 | admins   | executor
  96249 |  56837 | admins   | executor
  96250 |  56839 | admins   | executor
  96251 |  56840 | admins   | executor
  96252 |  56841 | admins   | executor
  96253 |  56842 | admins   | executor
  96254 |  56843 | admins   | executor
  96254 |  99832 | admins   | executor
  96255 |  56844 | admins   | executor
  96256 |  56845 | admins   | executor
  96257 |  56847 | admins   | executor
  96257 |  56846 | admins   | executor
  96258 |  56848 | admins   | executor
  96259 |  56849 | admins   | executor
  96260 |  56850 | admins   | executor
  96261 |  56852 | admins   | executor
  96262 |  56853 | admins   | executor
  96263 |  56854 | admins   | executor
  96264 |  56855 | admins   | executor
  96265 |  56856 | admins   | executor
  96266 |  56857 | admins   | executor
  96267 |  56858 | admins   | executor
  96268 |  56859 | admins   | executor
  96269 |  56860 | admins   | executor
  96270 |  56861 | admins   | executor
  96271 |  56862 | admins   | executor
  96272 |  56865 | admins   | executor
  96272 |  56872 | admins   | executor
  96273 |  56866 | admins   | executor
  96274 |  56867 | admins   | executor
  96275 |  56868 | admins   | executor
  96276 |  56869 | admins   | executor
  96277 |  56870 | admins   | executor
  96278 |  57071 | admins   | executor
  96278 |  56871 | admins   | executor
  96279 |  57983 | ios      | executor
  96279 |  56873 | android  | executor
  96280 |  56874 | admins   | executor
  96281 |  56875 | admins   | executor
  96282 |  56876 | admins   | executor
  96283 |  56877 | admins   | executor
  96284 |  56878 | admins   | executor
  96285 |  56880 | android  | executor
  96286 |  56879 | admins   | executor
  96287 |  56881 | admins   | executor
  96288 |  56882 | admins   | executor
  96289 |  56883 | admins   | executor
  96290 |  56885 | android  | executor
  96291 |  56884 | admins   | executor
  96292 |  56886 | admins   | executor
  96293 |  56887 | admins   | executor
  96294 |  56892 | android  | executor
  96295 |  56888 | admins   | executor
  96296 |  56889 | admins   | executor
  96297 |  56891 | admins   | executor
  96298 |  56893 | admins   | executor
  96299 |  56894 | admins   | executor
  96300 |  56895 | admins   | executor
  96301 | 118297 | admins   | executor
  96301 |  56896 | admins   | executor
  96302 |  56897 | android  | executor
  96303 |  56900 | android  | executor
  96303 |  56899 | android  | executor
  96304 |  56898 | admins   | executor
  96305 |  56901 | android  | executor
  96306 |        |          | provider
  96307 |  56902 | android  | executor
  96308 |  56903 | admins   | executor
  96309 |  56905 | android  | executor
  96310 |  56904 | admins   | executor
  96311 |  56906 | admins   | executor
  96312 |  56910 | admins   | executor
  96312 |  56908 | admins   | executor
  96312 |  56909 | admins   | executor
  96313 |  57012 | admins   | executor
  96313 |  56912 | android  | executor
  96314 |  56911 | admins   | executor
  96315 |  56913 | admins   | executor
  96316 |  56915 | admins   | executor
  96317 |  56916 | admins   | executor
  96318 |  56917 | admins   | executor
  96319 |  56920 | android  | executor
  96320 |  57275 | admins   | executor
  96320 |  56918 | admins   | executor
  96320 |  60144 | admins   | executor
  96321 |  56919 | admins   | executor
  96322 |  56922 | admins   | executor
  96323 |  56923 | admins   | executor
  96324 |  56924 | android  | executor
  96325 |        |          | executor
  96326 |  56925 | admins   | executor
  96327 |  56926 | admins   | executor
  96328 |  56927 | android  | executor
  96329 |  56928 | admins   | executor
  96329 | 130368 | admins   | executor
  96330 |  56930 | android  | executor
  96331 |  56929 | admins   | executor
  96332 |  56932 | android  | executor
  96333 |  56933 | admins   | executor
  96334 |  56931 | admins   | executor
  96335 |  56935 | android  | executor
  96336 |  56934 | admins   | executor
  96337 |  56936 | admins   | executor
  96338 |  56950 | android  | executor
  96339 |  56937 | admins   | executor
  96340 |  56938 | admins   | executor
  96341 |  56939 | admins   | executor
  96342 |  56940 | admins   | executor
  96343 |  56941 | admins   | executor
  96344 |  56942 | admins   | executor
  96345 |  56943 | admins   | executor
  96346 | 141057 | admins   | executor
  96346 |  56944 | admins   | executor
  96347 |  56945 | admins   | executor
  96348 |  56946 | admins   | executor
  96349 |  56947 | admins   | executor
  96350 |  56949 | admins   | executor
  96351 |  56951 | admins   | executor
  96351 |  57043 | admins   | executor
  96352 |  56952 | admins   | executor
  96353 |  56953 | admins   | executor
  96354 |  56954 | admins   | executor
  96355 |  56955 | admins   | executor
  96356 |  56956 | admins   | executor
  96357 |        |          | provider
  96358 |  56957 | admins   | executor
  96359 |  56958 | admins   | executor
  96360 |  56959 | admins   | executor
  96361 |  56960 | admins   | executor
  96362 |  56961 | admins   | executor
  96363 |  56962 | admins   | executor
  96364 |  56965 | admins   | executor
  96365 |  56966 | admins   | executor
  96366 |  56969 | android  | executor
  96367 |  56967 | admins   | executor
  96368 |  56968 | admins   | executor
  96369 |  56970 | admins   | executor
  96370 |  56972 | android  | executor
  96371 |  56971 | admins   | executor
  96372 |        |          | executor
  96373 |  56973 | admins   | executor
  96374 |  56974 | admins   | executor
  96375 |  56975 | admins   | executor
  96376 |  56977 | admins   | executor
  96376 |  56976 | admins   | executor
  96377 |  56978 | admins   | executor
  96378 |  56979 | admins   | executor
  96379 |  56980 | admins   | executor
  96380 |  56981 | admins   | executor
  96381 |  56982 | admins   | executor
  96382 |  56983 | admins   | executor
  96383 |  56984 | admins   | executor
  96384 |  56985 | admins   | executor
  96385 |  56986 | admins   | executor
  96386 |  56987 | admins   | executor
  96387 |  56988 | admins   | executor
  96388 |  56990 | admins   | executor
  96389 |  56991 | admins   | executor
  96390 |  56992 | admins   | executor
  96391 |  56993 | admins   | executor
  96392 |  56994 | admins   | executor
  96393 |  56995 | admins   | executor
  96394 |  56996 | admins   | executor
